iter	MultiClass
0	8.897648996
1	8.876403458
2	8.851356537
3	8.835001231
4	8.816760819
5	8.794052314
6	8.769181705
7	8.74993669
8	8.732844126
9	8.707155396
10	8.681027023
11	8.658096155
12	8.639130457
13	8.615413183
14	8.592417514
15	8.571977611
16	8.546380979
17	8.526246704
18	8.500062896
19	8.480372869
20	8.454847709
21	8.433161895
22	8.407691547
23	8.392949478
24	8.371550675
25	8.349315405
26	8.325622759
27	8.303425224
28	8.280068517
29	8.256076018
30	8.236025001
31	8.21330189
32	8.18814085
33	8.162572256
34	8.141830694
35	8.120331145
36	8.093066712
37	8.070373334
38	8.050981726
39	8.027064397
40	8.018771122
41	7.997979247
42	7.97911998
43	7.95178428
44	7.932124568
45	7.912992703
46	7.88651084
47	7.867495179
48	7.841159642
49	7.825351261
50	7.806591943
51	7.780934225
52	7.7663572
53	7.747762996
54	7.734852427
55	7.720681196
56	7.696897611
57	7.670509061
58	7.64582078
59	7.627721862
60	7.605571222
61	7.589010648
62	7.562819402
63	7.542914178
64	7.525193395
65	7.508994075
66	7.489494881
67	7.466640709
68	7.441995574
69	7.419433909
70	7.395279243
71	7.372225088
72	7.350089485
73	7.333231444
74	7.314806579
75	7.301410056
76	7.285662319
77	7.262853129
78	7.236387221
79	7.211707276
80	7.189768404
81	7.170863449
82	7.153520743
83	7.127868948
84	7.112049482
85	7.087370846
86	7.064769238
87	7.052438074
88	7.026748018
89	7.008815172
90	6.992431671
91	6.972617018
92	6.952168389
93	6.934055867
94	6.910532847
95	6.890654397
96	6.874863897
97	6.856341055
98	6.835796299
99	6.812485562
