iter	Passed	Remaining
0	554678	54913182
1	1102797	54037069
2	1633012	52800747
3	2156887	51765294
4	2677042	50863813
5	3195414	50061494
6	3714547	49350423
7	4231649	48663968
8	4748448	48012088
9	5269072	47421655
10	5786995	46822054
11	6316069	46317840
12	6844800	45807512
13	7367203	45255680
14	7890453	44712567
15	8412114	44163599
16	8933877	43618341
17	9452066	43059412
18	9974552	42523093
19	10496384	41985536
20	11020165	41456814
21	11550789	40952799
22	12117600	40567617
23	12799205	40530818
24	13570201	40710603
25	14333048	40794060
26	14998213	40550726
27	15610684	40141761
28	16397819	40146386
29	17151325	40019760
30	17864517	39762958
31	18630039	39588834
32	19278560	39141319
33	19860765	38553251
34	20405936	37896739
35	20928627	37206449
36	21448157	36519836
37	21966186	35839567
38	22485723	35169977
39	23003485	34505227
40	23522038	33848786
41	24043753	33203277
42	24563943	32561507
43	25083900	31924964
44	25601626	31290876
45	26051352	30582022
46	26570234	29962178
47	27091893	29349551
48	27613460	28740540
49	28131798	28131798
50	28649376	27525871
51	29168641	26924899
52	29619331	26266199
53	30138663	25673676
54	30659334	25084910
55	31181684	24499894
56	31701363	23915063
57	32223025	23333915
58	32742942	22753570
59	33196822	22131215
60	33716321	21556336
61	34234936	20982702
62	34755464	20411939
63	35274968	19842169
64	35794698	19274068
65	36312853	18706621
66	36834387	18142310
67	37354171	17578433
68	37874142	17015919
69	38394725	16454882
70	38913054	15894064
71	39433425	15335221
72	39952741	14777041
73	40471896	14219855
74	40992393	13664131
75	41512761	13109293
76	42034652	12555805
77	42554467	12002542
78	43073159	11449827
79	43590621	10897655
80	44112105	10347284
81	44630983	9797045
82	45151054	9247806
83	45670592	8699160
84	46191659	8151469
85	46711463	7604191
86	47229678	7057308
87	47749143	6511246
88	48269906	5965943
89	48789031	5421003
90	49308120	4876627
91	49826584	4332746
92	50344090	3789340
93	50862361	3246533
94	51381013	2704263
95	51898694	2162445
96	52417787	1621168
97	52940545	1080419
98	53459888	539998
99	53978993	0
